Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 02:10:00,surfaced,1,-88.386637,28.739704
2015-Mar-02 02:10:00,water column,0,-88.366346,28.742148
2015-Mar-02 02:10:00,water column,0,-88.367245,28.742008
2015-Mar-02 02:10:00,water column,0,-88.368669,28.741819
2015-Mar-02 02:10:00,water column,0,-88.370389,28.741175
2015-Mar-02 02:10:00,water column,0,-88.371424,28.74003
2015-Mar-02 04:10:00,surfaced,1,-88.407445,28.743037
2015-Mar-02 04:10:00,water column,0,-88.361465,28.743461
2015-Mar-02 04:10:00,water column,0,-88.366332,28.742395
2015-Mar-02 04:10:00,water column,0,-88.368413,28.742178
2015-Mar-02 04:10:00,water column,0,-88.370873,28.741047
2015-Mar-02 04:10:00,water column,0,-88.373777,28.740361
2015-Mar-02 04:10:00,surfaced,1,-88.382061,28.737373
2015-Mar-02 04:10:00,surfaced,1,-88.389666,28.737339
2015-Mar-02 04:00:01,surfaced,1,-88.415682,28.740978
2015-Mar-02 04:00:01,surfaced,1,-88.376153,28.738501
2015-Mar-02 04:00:01,water column,0,-88.368273,28.740219
2015-Mar-02 06:10:00,surfaced,1,-88.432435,28.747763
2015-Mar-02 06:10:00,water column,0,-88.355039,28.744132
2015-Mar-02 06:10:00,water column,0,-88.355949,28.744252
2015-Mar-02 06:10:00,water column,0,-88.369562,28.741656
2015-Mar-02 06:10:00,surfaced,1,-88.378337,28.73882
2015-Mar-02 06:10:00,surfaced,1,-88.391191,28.73773
2015-Mar-02 06:10:00,surfaced,1,-88.397437,28.738152
2015-Mar-02 06:10:00,surfaced,1,-88.407362,28.739058
2015-Mar-02 06:10:00,surfaced,1,-88.414416,28.74083
2015-Mar-02 06:00:01,surfaced,1,-88.440391,28.745584
2015-Mar-02 06:00:01,surfaced,1,-88.402374,28.738147
2015-Mar-02 06:00:01,water column,0,-88.361754,28.740915
2015-Mar-02 06:00:01,water column,0,-88.362231,28.740955
2015-Mar-02 06:00:01,water column,0,-88.36324,28.740952
2015-Mar-02 06:00:01,water column,0,-88.36429,28.740423
2015-Mar-02 06:00:01,water column,0,-88.366742,28.74014
2015-Mar-02 06:00:01,water column,0,-88.369528,28.739759
2015-Mar-02 06:00:01,surfaced,1,-88.373114,28.738787
2015-Mar-02 08:10:00,surfaced,1,-88.464018,28.76033
2015-Mar-02 08:10:00,water column,0,-88.347545,28.742151
2015-Mar-02 08:10:00,water column,0,-88.353247,28.743613
2015-Mar-02 08:10:00,water column,0,-88.377724,28.741769
2015-Mar-02 08:10:00,surfaced,1,-88.410293,28.743336
2015-Mar-02 08:10:00,surfaced,1,-88.423802,28.746029
2015-Mar-02 08:10:00,surfaced,1,-88.43023,28.747015
2015-Mar-02 08:10:00,surfaced,1,-88.440102,28.748427
2015-Mar-02 08:10:00,surfaced,1,-88.446999,28.750229
2015-Mar-02 08:00:01,surfaced,1,-88.470691,28.758251
2015-Mar-02 08:00:01,surfaced,1,-88.43513,28.747281
2015-Mar-02 08:00:01,water column,0,-88.35416,28.738845
2015-Mar-02 08:00:01,water column,0,-88.362461,28.739181
2015-Mar-02 08:00:01,water column,0,-88.365425,28.739648
2015-Mar-02 08:00:01,water column,0,-88.369631,28.739771
2015-Mar-02 08:00:01,surfaced,1,-88.376451,28.739411
2015-Mar-02 08:00:01,surfaced,1,-88.391667,28.739725
2015-Mar-02 08:00:01,surfaced,1,-88.404637,28.740956
2015-Mar-02 08:00:01,surfaced,1,-88.439444,28.75156
2015-Mar-02 08:10:00,surfaced,1,-88.39567,28.739899
2015-Mar-02 08:10:00,water column,0,-88.36368,28.738329
2015-Mar-02 08:10:00,water column,0,-88.365091,28.738665
2015-Mar-02 08:10:00,water column,0,-88.367452,28.73848
2015-Mar-02 08:10:00,water column,0,-88.368767,28.738834
2015-Mar-02 10:10:00,surfaced,1,-88.491016,28.778519
2015-Mar-02 10:10:00,water column,0,-88.340875,28.739631
2015-Mar-02 10:10:00,water column,0,-88.351897,28.742187
2015-Mar-02 10:10:00,water column,0,-88.344871,28.740979
2015-Mar-02 10:10:00,surfaced,1,-88.406828,28.748765
2015-Mar-02 10:10:00,surfaced,1,-88.441634,28.755131
2015-Mar-02 10:10:00,surfaced,1,-88.455943,28.760658
2015-Mar-02 10:10:00,surfaced,1,-88.46197,28.762647
2015-Mar-02 10:10:00,surfaced,1,-88.470812,28.765434
2015-Mar-02 10:10:00,surfaced,1,-88.476402,28.76772
2015-Mar-02 10:00:01,surfaced,1,-88.49609,28.775191
2015-Mar-02 10:00:01,surfaced,1,-88.466465,28.76419
2015-Mar-02 10:00:01,water column,0,-88.347465,28.736174
2015-Mar-02 10:00:01,water column,0,-88.348883,28.736793
2015-Mar-02 10:00:01,water column,0,-88.3648,28.739106
2015-Mar-02 10:00:01,surfaced,1,-88.381428,28.744373
2015-Mar-02 10:00:01,surfaced,1,-88.397792,28.744014
2015-Mar-02 10:00:01,surfaced,1,-88.406578,28.74631
2015-Mar-02 10:00:01,surfaced,1,-88.423281,28.751136
2015-Mar-02 10:00:01,surfaced,1,-88.435494,28.752449
2015-Mar-02 10:00:01,surfaced,1,-88.470299,28.76892
2015-Mar-02 10:10:00,surfaced,1,-88.426997,28.752096
2015-Mar-02 10:10:00,water column,0,-88.35695,28.735513
2015-Mar-02 10:10:00,water column,0,-88.360643,28.736513
2015-Mar-02 10:10:00,water column,0,-88.363005,28.736366
2015-Mar-02 10:10:00,water column,0,-88.364743,28.736803
