CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 01:10:00,surfaced,1,-88.378271,28.739362
2015-Mar-02 01:10:00,water column,0,-88.368098,28.741131
2015-Mar-02 01:10:00,water column,0,-88.369184,28.74106
2015-Mar-02 01:10:00,water column,0,-88.369482,28.740809
2015-Mar-02 02:10:00,surfaced,1,-88.386637,28.739704
2015-Mar-02 02:10:00,water column,0,-88.366346,28.742148
2015-Mar-02 02:10:00,water column,0,-88.367245,28.742008
2015-Mar-02 02:10:00,water column,0,-88.368669,28.741819
2015-Mar-02 02:10:00,water column,0,-88.370389,28.741175
2015-Mar-02 02:10:00,water column,0,-88.371424,28.74003
2015-Mar-02 03:10:00,surfaced,1,-88.395105,28.741038
2015-Mar-02 03:10:00,water column,0,-88.364666,28.743128
2015-Mar-02 03:10:00,water column,0,-88.366473,28.742864
2015-Mar-02 03:10:00,water column,0,-88.366917,28.74237
2015-Mar-02 03:10:00,water column,0,-88.368344,28.741925
2015-Mar-02 03:10:00,water column,0,-88.370469,28.74168
2015-Mar-02 03:10:00,water column,0,-88.371998,28.739596
2015-Mar-02 03:10:00,surfaced,1,-88.376801,28.738538
2015-Mar-02 04:10:00,surfaced,1,-88.407445,28.743037
2015-Mar-02 04:10:00,water column,0,-88.361465,28.743461
2015-Mar-02 04:10:00,water column,0,-88.366332,28.742395
2015-Mar-02 04:10:00,water column,0,-88.368413,28.742178
2015-Mar-02 04:10:00,water column,0,-88.370873,28.741047
2015-Mar-02 04:10:00,water column,0,-88.373777,28.740361
2015-Mar-02 04:10:00,surfaced,1,-88.382061,28.737373
2015-Mar-02 04:10:00,surfaced,1,-88.389666,28.737339
2015-Mar-02 04:00:02,surfaced,1,-88.413697,28.740583
2015-Mar-02 04:10:00,surfaced,1,-88.378306,28.738125
2015-Mar-02 04:10:00,water column,0,-88.367764,28.740279
2015-Mar-02 04:10:00,water column,0,-88.368295,28.740334
2015-Mar-02 05:10:00,surfaced,1,-88.419383,28.745526
2015-Mar-02 05:10:00,water column,0,-88.358256,28.743796
2015-Mar-02 05:10:00,water column,0,-88.367973,28.741891
2015-Mar-02 05:10:00,water column,0,-88.371421,28.740954
2015-Mar-02 05:10:00,surfaced,1,-88.378264,28.738679
2015-Mar-02 05:10:00,surfaced,1,-88.384252,28.738038
2015-Mar-02 05:10:00,surfaced,1,-88.39515,28.737118
2015-Mar-02 05:10:00,surfaced,1,-88.403081,28.738412
